,Unnamed: 0.1,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,n_cut,n_color,n_clarity,price_predicted
19,19,19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,4,3,7,849.59
20,20,20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,2,2,2,4996.29
21,21,21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,2,4,4,732.64
22,22,22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2,4,1,4316.51
23,23,23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4,4,4,4775.6
24,24,24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,3,6,1,6455.03
25,25,25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,3,5,4,972.66
26,26,26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,4,4,5,2380.23
27,27,27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3,3,2,1720.27
28,28,28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,3,6,5,1286.18
29,29,29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2,1,0,1174.92
30,30,30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,2,1,4,4938.0
31,31,31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,4,4,5,821.81
32,32,32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,4,1,6,2663.16
33,33,33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4,6,1,3413.02
34,34,34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2,3,2,1279.43
35,35,35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4,5,3,7960.57
36,36,36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,4,6,4,1171.67
37,37,37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4,4,3,6939.27
38,38,38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,4,6,2,651.96
39,39,39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,3,0,4,507.49
40,40,40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,2,6,5,842.32
41,41,41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,4,3,4,672.35
42,42,42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,4,3,4,452.06
43,43,43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,4,4,4,773.59
44,44,44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,2,4,7,14807.443333333335
45,45,45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4,0,4,5352.55
46,46,46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,3,2,2,8235.61
47,47,47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,5,1,1172.87
48,48,48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,4,3,7,934.5
49,49,49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3,5,1,4022.52
50,50,50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,3,5,3,1769.46
51,51,51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4,2,1,4672.2
52,52,52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,3,3,1,6078.2
53,53,53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,3,2,3,511.59
54,54,54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4,5,3,2958.7
55,55,55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,4,2,6,9580.2
56,56,56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1,4,3,393.83
57,57,57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2,4,0,2364.735
58,58,58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,4,6,2,5984.21
59,59,59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,5,1,4250.87
60,60,60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,4,2,5,1758.93
61,61,61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,4,5,7,1176.16
62,62,62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3,6,5,3729.57
63,63,63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1,3,2,1429.96
64,64,64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4,3,3,1608.37
65,65,65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,4,2,7,8685.78
66,66,66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,3,5,6,709.94
67,67,67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4,6,3,1827.24
68,68,68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,4,3,1,5911.93
69,69,69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,4,5,5,995.35
70,70,70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,3,1,3,559.07
71,71,71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,4,3,2,628.66
72,72,72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,1,5,2,5217.45
73,73,73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,4,2,4,599.71
74,74,74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,4,6,2,827.33
75,75,75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4,4,6,4634.56
76,76,76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,3,3,3,563.81
77,77,77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,3,5,3,1688.2
78,78,78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2,5,2,1396.355
79,79,79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,4,0,4,1470.55
80,80,80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,4,4,7,878.25
81,81,81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,4,3,6,1068.12
82,82,82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,4,4,3,794.59
83,83,83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,2,2,4,4061.37
84,84,84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3,3,1,2483.4
85,85,85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3,5,1,2269.37
86,86,86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,2,0,3,584.03
87,87,87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2,3,2,2271.67
88,88,88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2,6,3,3085.96
89,89,89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,2,2,4,4337.9
90,90,90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,4,1,2052.67
91,91,91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,3,2,3,11174.71
92,92,92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,2,4,2,10937.92
93,93,93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,4,4,4,1085.22
94,94,94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,3,3,3,5946.85
95,95,95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,3,1,1,15954.81
96,96,96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,4,4,5,9428.86
97,97,97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,4,6,3,1048.36
98,98,98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,4,4,2,2616.94
99,99,99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,1,5,3,6267.29
100,100,100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,2,1,3,4744.04
101,101,101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4,1,3,5127.0
102,102,102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2,5,3,2794.92
103,103,103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,3,4,2,4898.94
104,104,104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,4,2,3,11479.86
105,105,105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,4,3,5,985.82
106,106,106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,2,0,3,828.51
107,107,107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,5,1,434.63
108,108,108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,4,3,3,729.11
109,109,109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3,5,3,2736.35
110,110,110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,4,3,5,733.93
111,111,111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,3,2,1,4761.8
112,112,112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,4,5,3,1757.06
113,113,113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,1,3,0,3584.01
114,114,114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,3,5,3,1636.98
115,115,115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,2,4,5,538.21
116,116,116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,0,4,2,1086.31
117,117,117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,2,6,4,8788.32
118,118,118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,3,3,4,762.46
119,119,119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,4,0,4,996.28
120,120,120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,4,0,4,8229.62
121,121,121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,3,4,1,4322.7
122,122,122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,2,3,5,839.32
123,123,123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,4,3,7,1310.23
124,124,124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4,5,3,7437.48
125,125,125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,3,0,2,4342.61
126,126,126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,0,1,3772.1
127,127,127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3,5,3,2810.02
128,128,128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,2,2,5,556.975
129,129,129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4,3,1,4770.07
130,130,130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4,4,4,3358.24
131,131,131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,4,6,3,1081.49
132,132,132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,4,1,2,1160.11
133,133,133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,4,5,3,1647.36
134,134,134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,3,4,1,4041.04
135,135,135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,3,2,3,5003.51
136,136,136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,3,2,3,5323.765
137,137,137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,1,5,4,3296.83
138,138,138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3,2,1,4216.17
139,139,139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,1,6,2,605.37
140,140,140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,4,4,4,9678.85
141,141,141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,4,6,4,733.95
142,142,142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,3,3,2,4825.68
143,143,143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,2,5,5,9268.16
144,144,144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,2,4,7,510.8
145,145,145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,2,6,4,857.1
146,146,146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,4,4,5,2415.66
147,147,147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4,3,2,4498.51
148,148,148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4,3,6,3462.12
149,149,149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,2,5,2,3219.23
150,150,150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4,2,2,4906.5
151,151,151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2,5,3,2820.61
152,152,152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,4,4,2,993.51
153,153,153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,4,5,3,815.46
154,154,154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,0,6,1,10712.06
155,155,155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,4,3,2,6110.36
156,156,156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,4,6,2,1578.79
157,157,157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,2,3,4,596.1691666666667
158,158,158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,3,3,4,14154.59
159,159,159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,0,2,1,13155.41
160,160,160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,3,2,4,739.98
161,161,161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2,3,0,1173.95
162,162,162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,3,1,2,5617.64
163,163,163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,3,6,3,910.4
164,164,164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2,2,4,1667.52
165,165,165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4,5,2,3779.83
166,166,166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,2,3,5,935.54
167,167,167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,4,2,7,798.17
168,168,168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4,1,1,5207.64
169,169,169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,4,1,8786.89
170,170,170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,4,3,4,1867.04
171,171,171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,4,3,6,954.22
172,172,172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,4,2,5,1838.49
173,173,173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3,5,1,3478.14
174,174,174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2,5,2,1369.53
175,175,175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,2,2,2,4624.88
176,176,176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,1,1,4,5064.74
177,177,177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,4,2,2,5972.54
178,178,178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,0,2,3,15474.36
179,179,179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4,3,3,13532.37
180,180,180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,1,1,13143.36
181,181,181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,1,4,5,581.55
182,182,182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,0,3,4,2388.56
183,183,183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4,3,6,3185.91
184,184,184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,2,0,6778.31
185,185,185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,4,0,3,1242.99
186,186,186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,4,6,4,1979.09
187,187,187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,2,1,2,5370.13
188,188,188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,2,4,3,1588.6
189,189,189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,3,4,1,7816.71
190,190,190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3,1,0,1145.58
191,191,191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,2,2,2,10621.36
192,192,192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,2,6,3,7144.4
193,193,193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,3,4,3,13731.11
194,194,194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2,5,4,3048.2
195,195,195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,3,4,2,956.62
196,196,196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,3,2,2,16841.75
197,197,197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,3,3,4,762.98
198,198,198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,4,5,5,1333.61
199,199,199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4,6,5,4899.11
200,200,200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,3,0,2,4656.32
201,201,201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,4,3,4,7272.52
202,202,202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,4,4,0,1281.52
203,203,203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,3,4,2,1322.39
204,204,204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,3,2,1,4399.25
205,205,205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3,5,1,3642.459166666667
206,206,206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3,4,3,2691.35
207,207,207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,4,1,1343.83
208,208,208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2,3,3,2474.21
209,209,209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3,3,2,3725.89
210,210,210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,4,3,2,4854.65
211,211,211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,3,2,1,2739.7
212,212,212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,3,3,3,6514.43
213,213,213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,4,5,2,2687.07
214,214,214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,3,3,4,6960.95
215,215,215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,3,5,0,2575.98
216,216,216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3,4,0,3478.25
217,217,217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,3,2,1,15731.405
218,218,218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,4,4,6,884.88
219,219,219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,0,1,3,3056.46
220,220,220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4,5,4,3250.78
221,221,221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,4,3,3,17083.36
222,222,222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4,2,2,2980.13
223,223,223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,1,1,6,2580.14
224,224,224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,4,3,3,818.99
225,225,225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,4,3,3,762.07
226,226,226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,3,4,3,709.74
227,227,227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,2,1,3,6329.25
228,228,228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,3,3,2,12518.75
229,229,229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,3,4,2,5485.07
230,230,230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1,6,2,1003.88
231,231,231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3,5,2,2588.98
232,232,232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,4,3,4,6870.36
233,233,233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,0,1,2901.66
234,234,234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,4,4,6,850.29
235,235,235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,4,3,6,740.89
236,236,236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2,3,2,2206.36
237,237,237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,3,2,7,6492.31
238,238,238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,2,1,8001.72
239,239,239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,2,6,4,5932.5
240,240,240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,1,4,5,461.03
241,241,241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,1,5,5,546.74
242,242,242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,4,4,5,956.62
243,243,243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,6,1,2458.23
244,244,244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,2,3,7,1271.4
245,245,245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,4,5,3,844.0
246,246,246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,3,0,5,4011.4559999999997
247,247,247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,4,6,1,1335.45
248,248,248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,3,4,0,6231.81
249,249,249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1,5,2,1444.4754999999998
250,250,250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4,5,4,3167.56
251,251,251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1,2,3,1350.91
252,252,252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,3,4,1,4412.6
253,253,253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,4,4,3,639.66
254,254,254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,1,3,2,4617.08
255,255,255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,1,5,2,7163.16
256,256,256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,2,1,2,4196.68
257,257,257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,4,3,3,6520.09
258,258,258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,1,3,2,3676.42
259,259,259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,4,5,3,1824.62
260,260,260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2,4,2,3081.32
261,261,261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,4,6,2,707.8
262,262,262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,4,2,3,2765.91
263,263,263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,3,2,2,6473.58
264,264,264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,2,0,4,8134.41
265,265,265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,4,2,5,8723.6
266,266,266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,4,4,2,2448.53
267,267,267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,4,1,3,1254.32
268,268,268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,4,5,4,1515.95
